"","logFC","AveExpr","t","P.Value","adj.P.Val","B","colour"
"202085_at",279.119997570492,530.050427547826,4.21816299760843,4.11204045688809e-05,0.000376718853854484,-2.16191252237345,"Upregulated"
"203863_at",-95.5047909360655,171.572954313043,-4.21804369607921,4.11399742057544e-05,0.000376834995761371,-2.16204843146923,"Downregulated"
"218219_s_at",-69.5177194654099,185.270807732919,-4.21768700417397,4.1198537409974e-05,0.00037730821321446,-2.1624547621432,"Downregulated"
"240527_at",-37.4109216814754,67.9976344937888,-4.21727819080633,4.12657563334757e-05,0.000377860530486147,-2.16292043985725,"Downregulated"
"208365_s_at",-58.1406227044262,165.112438919255,-4.21711179784979,4.12931454730985e-05,0.000377989065336301,-2.16310996890201,"Downregulated"
"226319_s_at",-18.6985426939344,22.7910194906832,-4.2171089144346,4.12936202515542e-05,0.000377989065336301,-2.16311325319785,"Downregulated"
"201457_x_at",-79.9731906418033,171.729845273292,-4.21671415538727,4.13586700116166e-05,0.000378521138748767,-2.1635628815359,"Downregulated"
"239975_at",-38.1246749462295,52.3020677993789,-4.21659249206797,4.13787378899296e-05,0.000378641421612034,-2.16370144977701,"Downregulated"
"216326_s_at",-86.7110989713116,249.666295273292,-4.216172546321,4.14480779342518e-05,0.000379212460015933,-2.16417972604661,"Downregulated"
"206871_at",-16.6306207563771,19.5428687478261,-4.2161188297469,4.14569554596078e-05,0.000379230222478511,-2.16424090159365,"Downregulated"
"233884_at",60.8911836413114,139.390693936025,4.21576316571567,4.1515780605141e-05,0.000379704801703928,-2.16464593942836,"Upregulated"
"217188_s_at",-18.6722845361639,24.973233231677,-4.21551250897711,4.155728605347e-05,0.000380020842109629,-2.16493137916257,"Downregulated"
"241631_at",40.1429087504099,66.3456268204969,4.21503814226786,4.16359437129268e-05,0.000380676458612755,-2.16547154188204,"Upregulated"
"214583_at",-37.2621245818033,76.0642517329193,-4.21445168142025,4.17333854979231e-05,0.00038150356998812,-2.16613929107031,"Downregulated"
"233037_at",57.4466636742623,152.719114717391,4.21364954803866,4.18670154456123e-05,0.000382661161733342,-2.16705250751099,"Upregulated"
"1554636_at",30.6941660177541,62.3996366751553,4.21354980982705,4.18836597655128e-05,0.000382749305980179,-2.1671660499021,"Upregulated"
"206711_at",-73.4076001965575,150.796772875776,-4.21349228261482,4.18932627921162e-05,0.000382773085420948,-2.16723153831091,"Downregulated"
"224315_at",-50.6263860868853,112.413011484472,-4.21313370936178,4.19531670294708e-05,0.00038325637549479,-2.16763972124843,"Downregulated"
"1569661_at",28.7843880745902,60.0131320850932,4.21294381257025,4.19849249272049e-05,0.000383482420714155,-2.1678558815431,"Upregulated"
"212706_at",75.5942634454097,201.222941186335,4.21279034491042,4.20106073211548e-05,0.000383652907179579,-2.16803056970892,"Upregulated"
"219366_at",-42.9535594432787,104.322612335404,-4.21258998494023,4.20441596579388e-05,0.000383895195273514,-2.16825862782535,"Downregulated"
"1565681_s_at",-42.7225310227868,105.683281978261,-4.21236635744729,4.20816386850842e-05,0.000384173250143092,-2.16851316155523,"Downregulated"
"1562416_at",38.3699386010656,71.1365952645963,4.21143122725848,4.22387094731501e-05,0.000385542811426458,-2.16957743391803,"Upregulated"
